Name,Symptom 1,Symptom 2,Symptom3,Description
Panic disorder,racing_heartbeat,sweating,nausea,Panic disorder is an anxiety disorder where you regularly have sudden attacks of panic or fear.
Post-traumatic stress disorder,vivid_flashbacks,sweating,intrusive thoughts or images,"Someone with PTSD often relives the traumatic event through nightmares and flashbacks, and may experience feelings of isolation, irritability and guilt. They may also have problems sleeping, such as insomnia, and find concentrating difficult."
Social anxiety disorder,racing_heartbeat,fear_and_anxiety,sweating,"Social anxiety disorder, also called social phobia, is a long-term and overwhelming fear of social situations. It's a common problem that usually starts during the teenage years. It can be very distressing and have a big impact on your life."
Depression,mood_swings,angry_outbursts,sleep_disturbance,Depression is a frequent psychological illness that greatly perturbs daily life through mood disorders
Schizophrenia,hallucinations,disorganized_thinking,disorganized_motor_behavior,Schizophrenia is a serious mental disorder in which people interpret reality abnormally.
Rumination disorder,effortless_regurgitation,nausea,weight_loss,"Rumination syndrome is a condition in which people repeatedly and unintentionally spit up (regurgitate) undigested or partially digested food from the stomach, rechew it, and then either reswallow it or spit it out."
Anorexia nervosa,irregular_heart_rhythms,weight_loss,sleep_disturbance,"Anorexia nervosa — often simply called anorexia — is an eating disorder characterized by an abnormally low body weight, an intense fear of gaining weight and a distorted perception of weight. People with anorexia place a high value on controlling their weight and shape, using extreme efforts that tend to significantly interfere with their lives."
Dissociative Identity Disorder,memory_loss,stress,blurred_sense_of_identity,"Dissociative identity disorder (DID) used to be called multiple personality disorder. Someone diagnosed with DID may feel uncertain about their identity and who they are. They may feel the presence of other identities, each with their own names, voices, personal histories and mannerisms."
Antisocial personality disorder,anger_outbursts,lack_of_remorse,disregard_for_normal_social_behaviour,"Antisocial personality disorder is a particularly challenging type of personality disorder characterised by impulsive, irresponsible and often criminal behaviour. Someone with antisocial personality disorder will typically be manipulative, deceitful and reckless, and will not care for other people's feelings."
Alzheimer’s disease,memory_loss,disrupted_language,,"Alzheimer's disease is the most common type of dementia. It is a progressive disease beginning with mild memory loss and possibly leading to loss of the ability to carry on a conversation and respond to the environment. Alzheimer's disease involves parts of the brain that control thought, memory, and language."
Parkinson’s disease,disorganized_motor_behavior,tremor,slow_movement,Parkinson's disease is a progressive disorder that affects the nervous system and the parts of the body controlled by the nerves.
Huntington’s disease,disorganized_motor_behavior,slow_movement,mood_swings,"Huntington's disease is a rare, inherited disease that causes the progressive breakdown (degeneration) of nerve cells in the brain. Huntington's disease has a wide impact on a person's functional abilities and usually results in movement, thinking (cognitive) and psychiatric disorders."
Autism,disorganized_motor_behavior,disrupted_language,unusual_emotions,"Autism spectrum disorder (ASD) is a developmental disability caused by differences in the brain. Some people with ASD have a known difference, such as a genetic condition. Other causes are not yet known. Scientists believe there are multiple causes of ASD that act together to change the most common ways people develop."